brapa_gene	agi	identity	evalue	bitscore
BRA000001	AT2G37440	83.3	1.11e-310	844
BRA000003	AT2G37480	73.5	6.97e-83	243
BRA000004	AT2G37530	85.2	3.24e-67	198
BRA000005	AT2G37550	89.1	3.01e-216	603
BRA000007	AT2G37580	74	4.34e-103	298
BRA000011	AT2G37630	79.8	1.28e-190	529
BRA000012	AT2G37650	79.4	0	1037
BRA000014	AT2G37700	82.6	0	1043
BRA000018	AT2G37770	89.5	1.08e-214	587
BRA000022	AT2G37800	67.2	1.85e-128	363
BRA000023	AT2G37840	84.9	0	1142
BRA000024	AT2G37860	83.7	3.12e-239	658
BRA000027	AT2G37900	86.1	0	992
BRA000028	AT2G37920	75.1	2.91e-118	337
BRA000031	AT2G37970	83.3	8.52e-115	326
BRA000033	AT2G37980	85.5	0	1028
BRA000035	AT2G38020	88.7	0	1498
BRA000036	AT2G38025	81.7	6.67e-133	373
BRA000037	AT2G38040	78.8	0	1035
BRA000038	AT2G38090	93	1.02e-201	552
BRA000041	AT2G38180	83.6	9.12e-157	437
BRA000043	AT2G38185	57.4	5.43e-178	505
BRA000046	AT2G38250	85.1	3.55e-132	376
BRA000047	AT2G38270	85.8	2.45e-175	485
BRA000050	AT2G27320	72.2	2.88e-178	499
BRA000052	AT2G38310	92.3	6.67e-137	381
BRA000053	AT2G38320	83.9	1.46e-266	726
BRA000055	AT2G38330	83.9	1.9e-286	785
BRA000056	AT2G38360	90.5	1.25e-132	371
BRA000057	AT2G38370	60.7	4.3e-152	444
BRA000060	AT2G38400	89.5	9.66e-315	854
BRA000063	AT2G38450	73.8	7.22e-65	193
BRA000064	AT2G38470	76	5.95e-240	665
BRA000066	AT2G38490	87.5	3.73e-271	739
BRA000067	AT2G38500	87.1	3.37e-218	599
BRA000069	AT2G38560	77.9	5e-189	526
BRA000070	AT2G38570	67.6	6.86e-143	407
BRA000071	AT2G38580	78.5	1.29e-73	241
BRA000077	AT2G38620	92	4.56e-212	580
BRA000085	AT2G38680	69.5	2.03e-165	463
BRA000086	AT2G38690	54.5	6.33e-53	167
BRA000088	AT2G38710	91	1.1e-143	399
BRA000089	AT2G38740	92.2	1.57e-166	459
BRA000090	AT2G38750	85	1.04e-190	526
BRA000092	AT2G38780	72.3	5.4e-219	611
BRA000093	AT2G38790	69.9	3.75e-86	252
BRA000094	AT1G61000	69.1	7.74e-186	523
BRA000096	AT2G38800	51.3	8.6e-169	489
BRA000097	AT2G38810	91.9	1.03e-80	233
BRA000098	AT2G38820	71.1	1.43e-147	416
BRA000100	AT2G38840	92.9	0	1120
BRA000101	AT2G38870	78.6	1.07e-34	112
BRA000103	AT2G38890	57.8	2.7e-90	276
